IP,Protocols
216.131.87.207,"IKEv2,OPENVPN"
185.147.212.133,"IKEv2,OPENVPN"
192.200.149.52,"IKEv2,OPENVPN"
216.131.79.143,"IKEv2,OPENVPN"
23.90.177.81,"IKEv2,OPENVPN"
108.171.107.131,"IKEv2,OPENVPN"
216.131.81.97,"IKEv2,OPENVPN"
185.91.120.23,"IKEv2,OPENVPN"
173.255.172.7,"IKEv2,OPENVPN"
205.185.209.16,"IKEv2,OPENVPN"
104.36.176.11,"IKEv2,OPENVPN"
192.200.158.98,"IKEv2,OPENVPN"
216.131.75.151,"IKEv2,OPENVPN"
205.185.193.17,"IKEv2,OPENVPN"
185.147.214.45,"IKEv2,OPENVPN"
216.131.105.78,"IKEv2,OPENVPN"
185.91.122.159,"IKEv2,OPENVPN"
216.131.76.228,"IKEv2,OPENVPN"
36.255.206.29,"IKEv2,OPENVPN"
173.255.164.179,"IKEv2,OPENVPN"
216.151.184.157,"IKEv2,OPENVPN"
216.169.140.89,"IKEv2,OPENVPN"
192.200.149.232,"IKEv2,OPENVPN"
207.204.229.26,"IKEv2,OPENVPN"
209.127.24.45,"IKEv2,OPENVPN"
156.59.233.209,"IKEv2,OPENVPN"
104.36.177.208,"IKEv2,OPENVPN"
216.131.122.29,"IKEv2,OPENVPN"
216.169.140.95,"IKEv2,OPENVPN"
98.96.216.11,"IKEv2,OPENVPN"
185.108.107.6,"IKEv2,OPENVPN"
176.67.82.175,"IKEv2,OPENVPN"
173.255.165.19,"IKEv2,OPENVPN"
103.209.254.18,"IKEv2,OPENVPN"
216.131.82.156,"IKEv2,OPENVPN"
173.255.161.200,"IKEv2,OPENVPN"
185.91.122.201,"IKEv2,OPENVPN"
216.131.83.6,"IKEv2,OPENVPN"
216.131.114.21,"IKEv2,OPENVPN"
176.67.84.17,"IKEv2,OPENVPN"
205.185.199.86,"IKEv2,OPENVPN"
173.255.161.102,"IKEv2,OPENVPN"
216.169.141.179,"IKEv2,OPENVPN"
199.33.69.25,"IKEv2,OPENVPN"
173.255.170.7,"IKEv2,OPENVPN"
103.209.253.17,"IKEv2,L2TP,OPENVPN"
205.185.193.23,"IKEv2,OPENVPN"
216.131.77.161,"IKEv2,OPENVPN"
199.33.71.47,"IKEv2,OPENVPN"
176.67.81.8,"IKEv2,OPENVPN"
216.131.116.23,"IKEv2,OPENVPN"
216.169.141.101,"IKEv2,OPENVPN"
192.200.158.66,"IKEv2,OPENVPN"
216.131.108.151,"IKEv2,OPENVPN"
216.131.74.175,"IKEv2,OPENVPN"
108.171.103.243,"IKEv2,OPENVPN"
216.131.78.29,"IKEv2,OPENVPN"
156.59.233.148,"IKEv2,OPENVPN"
216.131.120.128,"IKEv2,OPENVPN"
146.70.203.117,"IKEv2,OPENVPN"
69.16.147.169,"IKEv2,OPENVPN"
209.107.196.22,"IKEv2,OPENVPN"
185.91.123.81,"IKEv2,OPENVPN"
173.245.209.67,"IKEv2,OPENVPN"
216.131.122.107,"IKEv2,OPENVPN"
216.131.81.121,"IKEv2,OPENVPN"
216.131.107.181,"IKEv2,OPENVPN"
192.200.148.207,"IKEv2,OPENVPN"
209.127.24.49,"IKEv2,OPENVPN"
173.245.207.11,"IKEv2,OPENVPN"
69.16.145.188,"IKEv2,OPENVPN"
185.147.215.29,"IKEv2,OPENVPN"
198.181.163.6,"IKEv2,OPENVPN"
209.107.192.231,"IKEv2,OPENVPN"
209.107.192.45,"IKEv2,OPENVPN"
185.91.122.27,"IKEv2,OPENVPN"
216.131.73.24,"IKEv2,OPENVPN"
216.131.114.213,"IKEv2,OPENVPN"
205.185.192.29,"IKEv2,OPENVPN"
103.209.252.150,"IKEv2,OPENVPN"
80.246.28.51,"IKEv2,OPENVPN"
108.171.107.5,"IKEv2,OPENVPN"
104.36.180.179,"IKEv2,OPENVPN"
176.67.80.189,"IKEv2,OPENVPN"
216.169.136.39,"IKEv1,OPENVPN"
185.91.123.63,"IKEv2,OPENVPN"
205.185.199.158,"IKEv2,OPENVPN"
103.209.255.169,"IKEv2,L2TP,OPENVPN"
173.255.172.67,"IKEv2,OPENVPN"
104.36.176.65,"IKEv2,OPENVPN"
173.245.207.23,"IKEv2,OPENVPN"
108.171.109.79,"IKEv2,OPENVPN"
216.131.79.89,"IKEv2,OPENVPN"
216.131.110.32,"IKEv2,OPENVPN"
216.131.83.48,"IKEv2,OPENVPN"
69.16.145.164,"IKEv2,OPENVPN"
216.131.74.121,"IKEv2,OPENVPN"
173.245.219.49,"IKEv2,OPENVPN"
216.131.78.47,"IKEv2,OPENVPN"
185.147.214.77,"IKEv1,OPENVPN"
173.245.203.29,"IKEv2,OPENVPN"
173.245.211.151,"IKEv2,OPENVPN"
216.131.82.48,"IKEv2,OPENVPN"
216.131.122.233,"IKEv2,OPENVPN"
216.131.81.91,"IKEv2,OPENVPN"
173.245.203.133,"IKEv2,OPENVPN"
192.200.148.177,"IKEv2,OPENVPN"
108.171.108.93,"IKEv2,OPENVPN"
108.171.108.63,"IKEv2,OPENVPN"
207.204.228.215,"IKEv2,OPENVPN"
216.131.81.12,"IKEv2,OPENVPN"
205.185.222.182,"IKEv2,OPENVPN"
185.91.122.189,"IKEv2,OPENVPN"
173.245.211.163,"IKEv2,OPENVPN"
173.245.203.157,"IKEv2,OPENVPN"
216.131.116.191,"IKEv2,OPENVPN"
108.171.105.17,"IKEv2,OPENVPN"
216.131.81.54,"IKEv2,OPENVPN"
216.169.140.203,"IKEv2,OPENVPN"
185.91.122.171,"IKEv2,OPENVPN"
185.91.120.17,"IKEv2,OPENVPN"
207.204.229.38,"IKEv1,OPENVPN"
205.185.199.98,"IKEv2,OPENVPN"
216.131.110.181,"IKEv2,OPENVPN"
216.131.79.29,"IKEv2,OPENVPN"
216.169.132.55,"IKEv2,OPENVPN"
36.255.204.201,"IKEv2,OPENVPN"
108.171.109.9,"IKEv2,OPENVPN"
173.255.161.26,"IKEv2,OPENVPN"
104.36.177.22,"IKEv2,OPENVPN"
192.169.119.157,"IKEv2,OPENVPN"
216.131.79.155,"IKEv2,OPENVPN"
108.171.108.117,"IKEv2,OPENVPN"
173.255.161.92,"IKEv2,OPENVPN"
216.131.110.11,"IKEv2,OPENVPN"
173.245.203.11,"IKEv2,OPENVPN"
216.131.77.65,"IKEv2,OPENVPN"
104.36.176.119,"IKEv2,OPENVPN"
64.145.76.102,"IKEv2,OPENVPN"
216.151.183.123,"IKEv2,OPENVPN"
216.131.78.127,"IKEv2,OPENVPN"
216.131.79.71,"IKEv2,OPENVPN"
64.145.90.51,"IKEv2,OPENVPN"
216.131.108.95,"IKEv2,OPENVPN"
108.171.102.151,"IKEv2,OPENVPN"
173.255.160.114,"IKEv2,OPENVPN"
216.131.114.9,"IKEv2,OPENVPN"
173.255.170.97,"IKEv2,OPENVPN"
204.188.246.172,"IKEv2,OPENVPN"
216.131.87.24,"IKEv2,OPENVPN"
64.145.90.189,"IKEv2,OPENVPN"
173.245.209.115,"IKEv2,OPENVPN"
104.36.181.25,"IKEv2,OPENVPN"
216.131.68.13,"IKEv2,OPENVPN"
104.36.176.221,"IKEv2,OPENVPN"
216.151.183.15,"IKEv2,OPENVPN"
216.131.109.12,"IKEv2,OPENVPN"
216.131.105.133,"IKEv2,OPENVPN"
98.96.216.29,"IKEv2,OPENVPN"
216.131.81.127,"IKEv2,OPENVPN"
216.131.81.60,"IKEv2,OPENVPN"
69.16.157.73,"IKEv2,OPENVPN"
173.255.161.146,"IKEv2,OPENVPN"
185.147.212.68,"IKEv2,OPENVPN"
216.169.133.57,"IKEv2,OPENVPN"
