IP,Protocols
45.79.8.78,"IKEv2,OPENVPN"
185.220.206.129,"IKEv2,OPENVPN"
139.162.185.176,"IKEv2,OPENVPN"
198.72.126.103,"IKEv2,OPENVPN"
45.90.57.142,"IKEv2,OPENVPN"
91.217.246.34,"IKEv2,OPENVPN"
94.75.219.89,"IKEv2,OPENVPN"
207.244.89.169,"IKEv2,OPENVPN"
213.183.56.203,"IKEv2,OPENVPN"
139.162.100.169,"IKEv2,OPENVPN"
81.171.6.117,"IKEv2,OPENVPN"
180.149.231.22,"IKEv1,OPENVPN"
45.79.163.199,"IKEv2,OPENVPN"
185.192.44.54,"IKEv2,OPENVPN"
198.72.126.195,"IKEv2,OPENVPN"
64.74.163.126,"IKEv2,OPENVPN"
38.54.61.91,"IKEv2,OPENVPN"
51.158.73.55,"IKEv2,OPENVPN"
81.171.5.243,"IKEv2,OPENVPN"
172.105.187.54,"IKEv2,OPENVPN"
51.158.181.238,"IKEv2,OPENVPN"
169.44.145.246,"IKEv2,OPENVPN"
143.198.163.96,"IKEv2,OPENVPN"
165.232.97.163,"IKEv2,OPENVPN"
45.90.57.15,"IKEv2,OPENVPN"
178.62.60.243,"IKEv2,OPENVPN"
43.249.36.77,"IKEv2,OPENVPN"
139.59.126.25,"IKEv2,OPENVPN"
66.42.117.128,"IKEv2,OPENVPN"
45.79.139.225,OPENVPN
45.79.137.215,OPENVPN
198.204.229.6,"IKEv2,OPENVPN"
165.232.97.61,"IKEv2,OPENVPN"
66.175.223.142,"IKEv2,OPENVPN"
43.249.36.71,"IKEv2,OPENVPN"
209.151.150.25,"IKEv2,OPENVPN"
91.235.234.157,"IKEv2,OPENVPN"
207.244.89.180,"IKEv2,OPENVPN"
172.105.198.168,"IKEv2,OPENVPN"
198.72.126.104,"IKEv2,OPENVPN"
81.171.5.245,"IKEv2,OPENVPN"
198.204.229.5,"IKEv2,OPENVPN"
94.237.36.142,"IKEv2,OPENVPN"
180.149.231.19,"IKEv2,OPENVPN"
172.234.115.23,"IKEv2,OPENVPN"
159.203.34.232,"IKEv2,OPENVPN"
23.229.116.38,"IKEv2,OPENVPN"
172.105.70.149,"IKEv2,OPENVPN"
184.164.129.82,"IKEv2,OPENVPN"
158.247.203.251,"IKEv2,OPENVPN"
172.237.154.217,"IKEv2,OPENVPN"
94.237.93.62,"IKEv2,OPENVPN"
198.72.126.75,"IKEv2,OPENVPN"
81.171.6.99,"IKEv2,OPENVPN"
139.59.141.179,"IKEv2,OPENVPN"
209.151.145.221,"IKEv2,OPENVPN"
104.192.3.90,"IKEv2,OPENVPN"
50.116.51.28,"IKEv2,OPENVPN"
204.16.246.178,"IKEv1,IKEv2,L2TP,OPENVPN"
172.232.195.149,"IKEv2,OPENVPN"
140.99.254.182,"IKEv2,OPENVPN"
23.83.129.68,"IKEv2,OPENVPN"
172.233.249.57,"IKEv2,OPENVPN"
209.151.153.27,"IKEv2,OPENVPN"
193.42.38.122,"IKEv2,OPENVPN"
23.92.21.212,"IKEv2,OPENVPN"
172.233.145.160,"IKEv2,OPENVPN"
195.123.225.63,"IKEv2,OPENVPN"
131.153.26.190,"IKEv2,OPENVPN"
140.99.254.181,"IKEv2,OPENVPN"
38.54.36.203,"IKEv2,OPENVPN"
154.223.16.47,"IKEv2,OPENVPN"
172.105.73.116,"IKEv2,OPENVPN"
205.185.121.83,"IKEv2,OPENVPN"
38.60.209.231,"IKEv2,OPENVPN"
38.15.146.106,"IKEv2,OPENVPN"
79.141.174.106,"IKEv2,OPENVPN"
205.185.113.204,"IKEv2,OPENVPN"
178.209.50.144,"IKEv2,OPENVPN"
43.249.36.86,"IKEv2,OPENVPN"
207.244.71.51,"IKEv2,OPENVPN"
198.204.229.2,"IKEv2,OPENVPN"
131.153.26.189,"IKEv2,OPENVPN"
172.235.191.188,IKEv2
60.248.41.136,"IKEv2,OPENVPN"
143.110.229.176,"IKEv2,OPENVPN"
139.162.57.177,"IKEv2,OPENVPN"
169.44.145.243,"IKEv2,OPENVPN"
172.245.236.8,"IKEv2,OPENVPN"
139.162.253.245,"IKEv2,OPENVPN"
172.232.186.29,"IKEv2,OPENVPN"
5.199.174.195,"IKEv2,OPENVPN"
194.71.126.19,"IKEv2,OPENVPN"
103.60.15.203,"IKEv2,OPENVPN"
172.236.54.233,"IKEv2,OPENVPN"
188.166.113.243,"IKEv2,OPENVPN"
207.244.89.163,"IKEv2,OPENVPN"
81.171.6.106,"IKEv2,OPENVPN"
206.53.48.226,"IKEv2,OPENVPN"
188.34.158.228,"IKEv2,OPENVPN"
208.83.238.183,"IKEv1,OPENVPN"
